,bike_name,price,city,kms_driven,owner,age,power,brand
0,1.0,35000.0,1.0,17654.0,1,3.0,110.0,1
1,2.0,119900.0,2.0,11000.0,1,4.0,350.0,2
2,3.0,600000.0,2.0,110.0,1,8.0,675.0,3
3,4.0,65000.0,3.0,16329.0,1,4.0,180.0,1
4,5.0,80000.0,3.0,10000.0,1,3.0,150.0,4
5,6.0,53499.0,2.0,25000.0,1,6.0,150.0,4
6,7.0,85000.0,2.0,8200.0,1,3.0,160.0,5
7,8.0,45000.0,2.0,12645.0,1,3.0,100.0,6
8,9.0,145000.0,3.0,9190.0,1,3.0,350.0,2
9,10.0,88000.0,2.0,19000.0,2,7.0,500.0,2
44,2.0,85000.0,2.0,18000.0,1,6.0,350.0,2
67,2.0,106000.0,2.0,19000.0,1,6.0,350.0,2
73,9.0,150000.0,3.0,15000.0,1,3.0,350.0,2
102,2.0,135000.0,3.0,45000.0,1,5.0,350.0,2
108,8.0,46000.0,2.0,11760.0,1,3.0,100.0,6
126,2.0,92500.0,2.0,11000.0,1,6.0,350.0,2
132,2.0,91000.0,2.0,18000.0,1,5.0,350.0,2
153,2.0,130000.0,2.0,8419.0,1,3.0,350.0,2
154,2.0,98000.0,2.0,13459.0,1,5.0,350.0,2
155,2.0,85000.0,2.0,14704.0,1,6.0,350.0,2
168,2.0,107000.0,1.0,17000.0,1,4.0,350.0,2
180,6.0,62000.0,2.0,11227.0,1,3.0,150.0,4
192,10.0,110800.0,4.0,13300.0,1,6.0,500.0,2
198,2.0,140000.0,4.0,11000.0,1,4.0,350.0,2
216,2.0,130000.0,2.0,10149.0,1,3.0,350.0,2
217,2.0,130000.0,2.0,7036.0,1,3.0,350.0,2
227,2.0,105000.0,2.0,16000.0,1,4.0,350.0,2
304,2.0,135000.0,2.0,2200.0,1,4.0,350.0,2
348,2.0,102500.0,2.0,29000.0,1,5.0,350.0,2
349,2.0,87000.0,2.0,15000.0,1,7.0,350.0,2
351,2.0,131100.0,9.0,6200.0,1,4.0,350.0,2
386,2.0,109900.0,2.0,8600.0,1,5.0,350.0,2
391,2.0,126000.0,3.0,23000.0,1,4.0,350.0,2
398,2.0,143000.0,3.0,7000.0,1,3.0,350.0,2
406,2.0,115000.0,2.0,15000.0,2,5.0,350.0,2
426,4.0,40000.0,2.0,16688.0,2,6.0,180.0,1
442,2.0,108000.0,2.0,20000.0,1,5.0,350.0,2
465,2.0,133000.0,2.0,8000.0,1,4.0,350.0,2
479,2.0,150000.0,2.0,4000.0,1,2.0,350.0,2
503,2.0,131000.0,2.0,9900.0,1,4.0,350.0,2
515,2.0,98000.0,9.0,7300.0,1,7.0,350.0,2
561,2.0,130000.0,3.0,6200.0,1,4.0,350.0,2
587,2.0,90000.0,2.0,13140.0,1,8.0,350.0,2
620,2.0,115000.0,2.0,14000.0,1,4.0,350.0,2
623,2.0,118000.0,2.0,10000.0,1,4.0,350.0,2
624,2.0,129500.0,2.0,6300.0,1,3.0,350.0,2
628,6.0,77500.0,2.0,45.0,1,3.0,150.0,4
629,2.0,99000.0,2.0,32158.0,1,6.0,350.0,2
641,2.0,130000.0,4.0,20000.0,1,3.0,350.0,2
646,8.0,52500.0,2.0,9000.0,1,3.0,100.0,6
687,2.0,113000.0,2.0,13000.0,1,5.0,350.0,2
706,2.0,120000.0,9.0,16562.0,1,4.0,350.0,2
748,2.0,133600.0,2.0,3000.0,1,5.0,350.0,2
